#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15119,15119,UÑAS POSTIZAS,PVNN,OWNN,ZZNNN,ZSPNN,VYNN,CTN,24,,4397,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15120,15120,UÑAS POSTIZAS,SNNN,SSNN,RPNN,ZYNNN,WNNN,CTN,24,,4401,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15123,15123,UÑA POSTIZA X24,VYNN,VPNN,SNNN,PVNN,YZNN,CTN,24,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15124,15124,UÑA POSTIZA   E-NAIL,SNNN,SSNN,RPNN,ZYNNN,WNNN,CTN,7.5X5.5,,4400,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
15139-1,15139-1,POMO HUEVO,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,12,,4354,GENERAL,GENERAL,GENERAL,GENERAL
15139-2,15139-2,POMO HUEVO ECONOMICO,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,12,,4357-4357,ARTICULOS DE BELLEZA,ROSTRO,POMOS,GENERAL
15139-3,15139-3,POMO,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,1,,,GENERAL,GENERAL,GENERAL,GENERAL
15139-4,15139-4,POMO HUEVO,ZPNN,YNNN,YVNN,WSNN,ONN,UND,1,,4356,GENERAL,GENERAL,GENERAL,GENERAL
15139-5,15139-5,POMO PERA PEQUEÑO ECONOMICO,ZUSNN,ZRYNN,YNWNN,WZYNN,RPNN,DOC,5x2.5,,4352-4352,ARTICULOS DE BELLEZA,ROSTRO,POMOS,GENERAL
15139-6,15139-6,POMO HUEVO,ZUSNN,ZRYNN,YNWNN,WZYNN,RPNN,DOC,12,,4350,ARTICULOS DE BELLEZA,ROSTRO,POMOS,GENERAL
15140-1,15140-1,BROCHA POMO HUEVO,VUNN,UNNN,UONN,ONNN,YYUN,UND,1,,6473,GENERAL,GENERAL,GENERAL,GENERAL
15141-1,15141-1,UÑAS POSTIZAS,PNNN,PPNN,ZNVNN,ZSNNN,VNNN,CAJ,0,,6372,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
15141-2,15141-2,PEGA ADORO,SNN,RNN,PNN,ZYNN,WNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15143-1,15143-1,UÑA POSTIZA REDONDA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,UND,12,,4401,ARTICULOS DE BELLEZA,MANOS Y PIES,GENERAL,GENERAL
15143-4,15143-4,GUIA FRANCES,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,7x6,,4529,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
15144-3,15144-3,STICKER MOLDE UÑAS,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,6x6.5,,4529,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
15145-1,15145-1,GORRO METALIZADO,ONNN,OSNN,ZZVNN,ZPNNN,VUNN,DOC,D:26.5cm,,,GENERAL,GENERAL,GENERAL,GENERAL
15146-1,15146-1,MICRO LINE,ZZVNN,ZYSNN,ZVONN,YYPNN,URNN,DOC,5MM,,4199,FANTASIA,PELO SINTETICO,ACCESORIOS,GENERAL
15151-2,15151-2,PAPEL CUELLERO,ZNNNN,ZZNNN,ZWNNN,YNNNN,UNNN,PQT,5,,4293,GENERAL,GENERAL,GENERAL,GENERAL
15155-2,15155-2,PIEDRA AZUCAR,PVNN,OWNN,ZZNNN,ZSPNN,VYNN,DOC,10x5,,4445,ARTICULOS DE BELLEZA,MANOS Y PIES,RASPA CAYO,GENERAL
15158-1,15158-1,ESPEJO CON FIGURAS,RUN,ONN,ZNNN,ZUNN,WRU,UND,7.5,,4239,ARTICULOS DE BELLEZA,ESPEJOS,GENERAL,GENERAL
15159-1,15159-1,RULO PQT X6,PNN,ONN,ZZNN,ZSNN,VNN,PQT,7CM,,4270,ARTICULOS DE BELLEZA,CABELLO,RULOS,GENERAL
15163,15163,POMO MAQUILLAJE CORAZON,ZRNN,ZONN,YYNN,WVNN,PUN,PQT,4,,,GENERAL,GENERAL,GENERAL,GENERAL
15163-4,15163-4,POMO MAQUILLAJE ESTRELLA,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,12,,4359,GENERAL,GENERAL,GENERAL,GENERAL
15163-7,15163-7,POMO MAQUILLAJE TRIANGULO,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,12,,4358,GENERAL,GENERAL,GENERAL,GENERAL
15168-1,15168-1,ESPEJO CON FIGURA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,7CM,,4296,GENERAL,GENERAL,GENERAL,GENERAL
15170-4,15170-4,CEPILLO MADERA,UUNN,SZNN,RYNN,ZZNNN,YRUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15171-10,15171-10,SACA ESPINILLAS,WNNN,WWNN,WONN,SNNN,ZUNN,DOC,,,,ARTICULOS DE BELLEZA,ROSTRO,GENERAL,GENERAL
15171-11,15171-11,LIMA METALICA,SNNN,SSNN,RPNN,ZYNNN,WNNN,DOC,12,,4339,ARTICULOS DE BELLEZA,MANOS Y PIES,LIMAS,GENERAL
15171-12,15171-12,REPUJADOR DE CUTICULA,ZNNN,ZZNN,ZWNN,YNNN,UNN,UND,12,,4457,ARTICULOS DE BELLEZA,MANOS Y PIES,REPUJADOR DE CUTICULA,GENERAL
15171-13,15171-13,PUSHER ACERO,ZZNN,ZWNN,ZUNN,YYNN,UUN,UND,,,4455-4455,GENERAL,GENERAL,GENERAL,GENERAL
15171-14,15171-14,CORTACUTICULA TRIM,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15171-2,15171-2,DEPILADOR EILEEN,YNNN,YYNN,YSNN,VNNN,ZNNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15171-3,15171-3,REPUJADOR CUTICULA,ZVVNN,ZUONN,ZPPNN,YPPNN,RYNN,DOC,7x5,,4435,ARTICULOS DE BELLEZA,MANOS Y PIES,REPUJADOR DE CUTICULA,GENERAL
15171-8,15171-8,SACA ESPINILLA,VPNN,UWNN,SYNN,OSNN,YVNN,PQT,10,,4308,GENERAL,GENERAL,GENERAL,GENERAL
15171-9,15171-9,CORTAUÑAS,ZVVNN,ZUPNN,ZPRNN,YPPNN,RYNN,DOC,1x10,,4393,ARTICULOS DE BELLEZA,MANOS Y PIES,CORTA UÑAS,GENERAL
15174,15174,LIMA ESMERIL,RYNN,PNNN,OVNN,ZVVNN,WSNN,DOC,6.5,,4425,ARTICULOS DE BELLEZA,MANOS Y PIES,LIMAS,GENERAL
15185-1,15185-1,MONEDERO,ZUSNN,ZRYNN,YNWNN,WZYNN,RPNN,DOC,9.5X10CM,,4771,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
1539-1,1539-1,POMO SILICONA FIGURAS,YUNN,YPNN,WWNN,UNNN,ZYUN,UND,1,,,GENERAL,GENERAL,GENERAL,GENERAL
1603-7,1603-7,LIMA X50,YNNNN,YYNNN,YSNNN,VNNNN,ZNNNN,PQT,50,,,GENERAL,GENERAL,GENERAL,GENERAL
160404,160404,POMO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
160404HE0350,160404HE0350,BROCHA,SUN,PNN,ONN,ZWNN,WYU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
16051-1,16051-1,PAPEL DEPILADOR,WNNN,WWNN,WONN,SNNN,ZUNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
16052-1,16052-1,CONO ALCANCIA,ZZNN,ZWNN,ZUNN,YYNN,UUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
16052-3,16052-3,SET ENVASES VIAJERO X3,ZRNN,ZONN,YYNN,WVNN,PUN,SET,3,,3766,CACHARROS,GENERAL,GENERAL,GENERAL
16054,16054,ESPEJO BASE,VUNN,UNNN,UONN,ONNN,YYUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
16056-1,16056-1,PAÑITO REMOVEDOR,ZNPNN,ZZONN,ZVZNN,YZSNN,UVNN,CAJ,10.5X8,,4413,ARTICULOS DE BELLEZA,MANOS Y PIES,MANICURE Y PEDICURE,GENERAL
16058-3221,16058-3221,PINZA COCODRILO,ZUNNN,ZSUNN,ZOUNN,WNNNN,RUNN,PQT,10,,,GENERAL,GENERAL,GENERAL,GENERAL
16061-2,16061-2,PALO NARANJA X100,VUNN,UNNN,UONN,ONNN,YYUN,PQT,100,,4460,ARTICULOS DE BELLEZA,MANOS Y PIES,PALO DE NARANJA,GENERAL
16061-4,16061-4,UÑA POSTIZA CORAZON,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,12,,4393,GENERAL,GENERAL,GENERAL,GENERAL
16061-6,16061-6,DEDO POSTIZO,RUN,PNN,ZNNN,ZUNN,WRU,UND,1,,4383,ARTICULOS DE BELLEZA,MANOS Y PIES,DEDOS Y PIE DIDACTICO,GENERAL
16063-3,16063-3,STICKER DE UÑAS X 12,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,12,,,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16063-4,16063-4,STICKER DECORATIVO,RYNN,ROYN,OWSN,ZVVNN,WSNN,DOC,16X7.5,,4540,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16063-5,16063-5,STCKER MANICURE,RYNN,RPNN,OSNN,ZVVNN,WSNN,DOC,11.5X10,,4544,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16063-6,16063-6,STIKER MANICURE,PVNN,OWNN,ZZNNN,ZSPNN,VYNN,DOC,0,,4544,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16065-1,16065-1,PAPEL ALUMINIO CAJA,VWNN,VPNN,USNN,PSNN,YZUN,UND,30m,100g/roller,,4314,ARTICULOS DE BELLEZA,CABELLO,OTROS,GENERAL
16066-1,16066-1,PERFUMERO METALICO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,12,,3757,GENERAL,GENERAL,GENERAL,GENERAL
16072-2,16072-2,GUANTES PLASTICOS,ZNNN,ZZNN,ZWNN,YNNN,UNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
16078-1,16078-1,PEINETA SENCILLA,YPNN,WZNN,WRNN,USNN,ZVNN,DOC,7.5CM,,3568,FANTASIA,PEINETAS,GENERAL,GENERAL
,16078-1HE076,PINZA PLASTICA PARA PEINADOS,VPNN,UWNN,SYNN,OSNN,YVNN,DOC,12,,,GENERAL,GENERAL,GENERAL,GENERAL
16079-1,16079-1,DONA PELO,ZYNNN,ZWYNN,ZSPNN,YVNNN,SNNN,DOC,5CM,,4227,FANTASIA,PELO SINTETICO,PELO,GENERAL
16079-2,16079-2,BAMBA CABELLO,ZUSNN,ZRYNN,YNWNN,WZYNN,RPNN,DOC,12,,4225,FANTASIA,PELO SINTETICO,BAMBAS,GENERAL
16079-3,16079-3,BAMBA PELO,YVNN,YRNN,WNNN,VPNN,ZYNN,DOC,0,,4226,FANTASIA,PELO SINTETICO,BAMBAS,GENERAL
16083,16083,ESPEJO CON FIGURAS,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,12,,,GENERAL,GENERAL,GENERAL,GENERAL
16083-1,16083-1,ESPEJO CON FIGURAS,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,7.5,,4246,ARTICULOS DE BELLEZA,ESPEJOS,GENERAL,GENERAL
16085-3,16085-3,STICKER PIEDRA MULTIUSOS,PUN,ONN,ZZNN,ZRNN,VYU,CTN,1,,4472,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16086-2,16086-2,COSMETIQUERA ROMBO,UUNN,SZNN,RYNN,ZZNNN,YRUN,UND,1,,6527,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
16086-3,16086-3,COSMETIQUERA OVALADA,VYNN,VPNN,SNNN,PVNN,YZNN,UND,,,6565,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
16086-4,16086-4,COSMETIQUERA RECTANGULAR,WUNN,WONN,VSNN,RNNN,ZRUN,UND,1,,6611,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
16103-2,16103-2,CUBO PULIDOR DE UÑAS,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
16103-3,16103-3,CUBO PULIDOR DE UÑAS,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,9.5X2.5,,4432,ARTICULOS DE BELLEZA,MANOS Y PIES,CUBO PULIDOR,GENERAL
16103-4,16103-4,LIMA PUNTA REDONDA,RUNN,PWNN,OPNN,ZUNNN,WRUN,PQT,10,,4431,GENERAL,GENERAL,GENERAL,GENERAL
16103-5,16103-5,LIMA PUNTA CUADRADA,RUNN,PWNN,OPNN,ZUNNN,WRUN,PQT,10,,4431,GENERAL,GENERAL,GENERAL,GENERAL
16103-6,16103-6,CUBO PULIDOR,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,50,,,ARTICULOS DE BELLEZA,MANOS Y PIES,CUBO PULIDOR,GENERAL
16104-3,16104-3,PATECABRA,ZNNN,ZZNN,ZWNN,YNNN,UNN,PQT,13.5,,4458,ARTICULOS DE BELLEZA,MANOS Y PIES,PATA DE CABRA,GENERAL
16105-4,16105-4,KIT BROCHAS BASE,ZONNN,YNONN,YVRNN,WPNNN,OUNN,CAJ,22.5x18,,6485,ARTICULOS DE BELLEZA,ROSTRO,BROCHAS,EN CAJA
16106-1,16106-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,4400,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
16106-2,16106-2,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,0,,4393,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
16106-3,16106-3,UÑAS POSTIZAS,WYNN,WUNN,VYNN,SVNN,ZSNN,CAJ,0,,4401-4402,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
16106-4,16106-4,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
16106-7,16106-7,POMO MAQUILLAJE,RNN,PNN,ZNNN,ZVNN,WUN,UND,1,,4362,GENERAL,GENERAL,GENERAL,GENERAL
16106-8,16106-8,POMO MAQUILLAJE,RUN,ONN,ZNNN,ZUNN,WRU,UND,1,,4361,GENERAL,GENERAL,GENERAL,GENERAL
16110-1,16110-1,BROCHA RETRACTIL GRANDE,WUNN,WONN,VSNN,RNNN,ZRUN,UND,1,,6485,ARTICULOS DE BELLEZA,ROSTRO,BROCHAS,FINO
16110-2,16110-2,BROCHA CON ESTUCHE,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,1,,,GENERAL,GENERAL,GENERAL,GENERAL
16113-5,16113-5,PIEDRAS DECORAR  UÑAS,UUNN,SZNN,RYNN,ZZNNN,YPNN,UND,13X7,,4393,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16114-1,16114-1,PIEDRAS PARA UÑAS,ZUNNN,ZSUNN,ZOUNN,WNNNN,RUNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
16114-2,16114-2,PIEDRA PARA UÑA,ZUNNN,ZSUNN,ZOUNN,WNNNN,RUNN,PQT,10000,,,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
16115-1,16115-1,MONEDERO,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,9.5X10CM,,4773,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
16115-2,16115-2,MONEDERO,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,12,,4772,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
16116-1,16116-1,MONEDERO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000222105,1645,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000221771,1652,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000220910,1659,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
1660,1660,CORTACUTICULA,ZVNN,ZUNN,ZPNN,YPNN,RNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
16TOEBIG,16TOEBIG,UÑAS POSTIZAS,PVNN,OYNN,ZNONN,ZSPNN,VYNN,CTN,24,,4417,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
16TOE-BIG,16TOE-BIG,UÑAS POSTIZAS,ONNN,OONN,ZZRNN,ZPNNN,VUNN,CTN,24,,,GENERAL,GENERAL,GENERAL,GENERAL
17014,17014,CEPILLO,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
17014-1,17014-1,CEPILLO PULIDOR,ZZNN,ZWNN,ZUNN,YYNN,UUN,UND,22X1.5,,4327,ARTICULOS DE BELLEZA,MANOS Y PIES,MANICURE Y PEDICURE,GENERAL
17014-1T3312,17014-1T3312,CEPILLO PULIDOR,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
1705,1705,PEINE MILITAR,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,,,4282,GENERAL,GENERAL,GENERAL,GENERAL
1705-1,1705-1,CAJA ORGANIZADORA,ZZNNN,ZYZNN,ZVWNN,YYNNN,UUNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
17059-1,17059-1,CAJA ALUMINIO,VUNN,UNNN,UONN,ONNN,YYUN,CAJ,,,,GENERAL,GENERAL,GENERAL,GENERAL
17059-3,17059-3,DISPENSADOR DE PAPEL CUELLERO,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
17092-1,17092-1,STICKER CABELLO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,12,,4462,GENERAL,GENERAL,GENERAL,GENERAL
1712,1712,DEPILADOR CORAZON,PVNN,OYVN,ZNOYN,ZSPNN,VYNN,CAJ,9.5,,4316,ARTICULOS DE BELLEZA,ROSTRO,DEPILADORES,ECONOMICO
000000221467,173,ENSAMBLE GOLFID,ONN,ZNNN,ZZUN,ZPNN,VUN,GRM,,,,ENSAMBLE,GOLFIED,ARGOLLAS,GENERAL
179RTS,179RTS,CEPILLO,WUNN,WONN,VSNN,RNNN,ZRUN,UND,4x21,,,ARTICULOS DE BELLEZA,CABELLO,CEPILLOS,GENERAL
000000220903,180,ENSAMBLE GOLFID,ZZUN,ZYUN,ZUNN,YWNN,URU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
1802,1802,SET TIJERAS CORTE,YUNN,YPNN,WWNN,UNNN,ZYUN,SET,3,,,GENERAL,GENERAL,GENERAL,GENERAL
000000221962,1834,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000221375,1835,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
19003-951,19003-951,OP46299,RUNN,PWNN,OPNN,ZUNNN,WRUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
19004-951,19004-951,OP46303,RUNN,PWNN,OPNN,ZUNNN,WRUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
,19016-835,BILLETERA,ZYUNN,ZWUNN,ZRUNN,YUNNN,SYUN,UND,19*9.5cm,,0,GENERAL,GENERAL,GENERAL,GENERAL
,19017-935,BILLETERA,ZVNNN,ZUUNN,YNNNN,YPNNN,RNNN,UND,20*11cm,,0,GENERAL,GENERAL,GENERAL,GENERAL
,19018-935,BILLETERA,ZYUNN,ZWUNN,ZRUNN,YUNNN,SYUN,UND,19*9.5cm,,0,GENERAL,GENERAL,GENERAL,GENERAL
,19032025MM28,CINTA LUREX PLATA,N,N,N,N,N,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
194,194,PEINETA FRANCES,WNNN,WWNN,WONN,SNNN,ZUNN,UND,8,,6695,CAREY FRANCES,PEINETAS,GENERAL,GENERAL
196,196,OP46870,UUNN,SNNN,RNNN,ZZNNN,YRUN,SET,12.5*22cm,,6379,GENERAL,GENERAL,GENERAL,GENERAL
,19742-801,BOLSO DAMA,WUNNN,WPNNN,VONNN,RNNNN,ZRUNN,UND,26*13.5*35CM,,0,GENERAL,GENERAL,GENERAL,GENERAL
,19743-801,BOLSO DAMA,YONNN,WWNNN,VNNNN,UPNNN,ZVUNN,UND,37*25*16cm,,0,GENERAL,GENERAL,GENERAL,GENERAL
200,200,PEINE PIOJO METAL CERDAS LARGAS,ZPNN,YNNN,YWNN,WSNN,ONN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
201,201,TIJERA ABATIBLE,SUN,PNN,ONN,ZWNN,WYU,UND,1,,3783,GENERAL,GENERAL,GENERAL,GENERAL
2013-GC,2013-GC,BOLSA DE REGALO,ZWYNN,ZVUNN,ZRYNN,YSVNN,SSNN,DOC,12,,,GENERAL,GENERAL,GENERAL,GENERAL
2013-GC-67A,2013-GC-67A,BOLSA REGALO,ZYNNN,ZWYNN,ZSPNN,YVNNN,SNNN,DOC,18X23,,4665,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
2013-GC-67B,2013-GC-67B,BOLSA REGALO,ZSPNN,ZPNNN,YWVNN,WWSNN,PVNN,DOC,32x26,,4660-4661-4662,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
2020,2020,melo,ZNNN,YNNN,WNNN,VNNN,UNNN,CAR,melo,,,ACCESORIOS DE PLAYA,GENERAL,GENERAL,GENERAL
20-25,20-25,CARTON RUANA X200UND,N,N,N,N,N,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
203-1,203-1,PEINILLA,RUN,PNN,ZNNN,ZUNN,WRU,UND,20X4,,4285,ARTICULOS DE BELLEZA,CABELLO,PEINILLAS,ECONOMICO
203-2,203-2,PEINILLA,ZNNN,ZZNN,ZWNN,YNNN,UNN,UND,1,,,GENERAL,GENERAL,GENERAL,GENERAL
203-2HE0895,203-2HE0895,PEINILLA,RUN,PNN,Z,Z,WRU,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
000000222242,2048,ENSAMBLE GOLFID,ZYNN,ZWNN,ZUUN,YVNN,SNN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
2053C-B,2053C-B,CEPILLO CON ANTIDESLIZANTE,VYNN,VSNN,UUNN,PVNN,YZNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
2053C-BHE0892,2053C-BHE0892,CEPILLO CON ANTIDESLIZANTE,VYNN,VSNN,UUNN,PVNN,YZNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
20559,20559,CORTACUTICULA LUCKY,WYNN,WUNN,VYNN,SVNN,ZSNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
20566,20566,PERFILADOR TRIM X3,ZWYNN,ZVSNN,ZRYNN,YSVNN,SSNN,DOC,15,,4311,ARTICULOS DE BELLEZA,ROSTRO,PERFILADOR,GENERAL
000000221993,2070,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
2077,2077,PEINILLA,UVNN,SNNN,RZNN,ZNPNN,YRNN,DOC,21,,4273,ARTICULOS DE BELLEZA,CABELLO,PEINILLAS,ECONOMICO
,20PCS,PERLA PLASTICA 20MM,N,N,N,N,N,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
211G,211G,CORTAUÑAS,YZSNN,YWPNN,YPZNN,VWYNN,ZNPNN,CAJ,9X2,,4416,ARTICULOS DE BELLEZA,MANOS Y PIES,CORTA UÑAS,GENERAL
211ZK,211ZK,CORTAUÑAS,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,,,4416,ARTICULOS DE BELLEZA,MANOS Y PIES,CORTA UÑAS,GENERAL
212,212,PEINETA FRANCES,VUNN,UNNN,UONN,ONNN,YYUN,UND,17,,6697,CAREY FRANCES,PEINETAS,GENERAL,GENERAL
214,214,CAIMAN FRANCES,SUNN,RYNN,PUNN,ZWNNN,WYUN,UND,9 CM,,6784,CAREY FRANCES,CAIMAN,GENERAL,GENERAL
214A,214A,BROCHA TINTE,WWNN,WRNN,VWNN,SSNN,ZSUN,DOC,21x4,,4286,ARTICULOS DE BELLEZA,CABELLO,BROCHA TINTE,GENERAL
215,215,BANANA FRANCES,VPNN,UWNN,SNNN,OSNN,YVNN,UND,1,,5371,CAREY FRANCES,BANANAS,GENERAL,GENERAL
000000221597,215-1,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
000000221696,215-2,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
218,218,HEBILLA FRANCES,WUNN,VNNN,VSNN,RNNN,ZRUN,UND,7.0,,5325,CAREY FRANCES,HEBILLAS,GENERAL,GENERAL
2186,2186,CAIMAN IMITACION CAREY,YPNNN,WNNNN,WSNNN,USNNN,ZVNNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
219,219,BANANA FRANCES,UNNN,UUNN,SUNN,ZNNNN,YUNN,UND,11 CM,,6696,CAREY FRANCES,BANANAS,GENERAL,GENERAL
220,220,HEBILLA FRANCES,VNNN,VVNN,UYNN,PNNN,YNNN,UND,6.0,,6711,CAREY FRANCES,HEBILLAS,GENERAL,GENERAL
220-7772,220-7772,CORTACUTICULA,WSNN,VNNN,VRNN,RYNN,ZPNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
221,221,HEBILLA FRANCES,WUNN,VNNN,VSNN,RNNN,ZRUN,UND,5.5,,6702,CAREY FRANCES,HEBILLAS,GENERAL,GENERAL
000000222006,224,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
225,225,BANANA FRANCES,VYNN,VPNN,SNNN,PVNN,YZNN,UND,9.5 CM,,6736,CAREY FRANCES,BANANAS,GENERAL,GENERAL
226,226,BANANA FRANCES,WUNN,WONN,VSNN,RNNN,ZRUN,UND,8 CM,,6698,CAREY FRANCES,BANANAS,GENERAL,GENERAL
